close;timestamp;token
39162,45;02.08.2021;BTC
39888,97;01.08.2021;BTC
41457,88;31.07.2021;BTC
42243,45;30.07.2021;BTC
39979,41;29.07.2021;BTC
40015,42;28.07.2021;BTC
39474,65;27.07.2021;BTC
37248,81;26.07.2021;BTC
35413,29;25.07.2021;BTC
34294,03;24.07.2021;BTC
33655,59;23.07.2021;BTC
32338,21;22.07.2021;BTC
32147,15;21.07.2021;BTC
29827,94;20.07.2021;BTC
30898,88;19.07.2021;BTC
31828,66;18.07.2021;BTC
31555,8;17.07.2021;BTC
31437,69;16.07.2021;BTC
31921,49;15.07.2021;BTC
32794,19;14.07.2021;BTC
32796,86;13.07.2021;BTC
33094,55;12.07.2021;BTC
34258,22;11.07.2021;BTC
33532,87;10.07.2021;BTC
33800,04;09.07.2021;BTC
32880,24;08.07.2021;BTC
33918,54;07.07.2021;BTC
34307,25;06.07.2021;BTC
33726,51;05.07.2021;BTC
35300,53;04.07.2021;BTC
34673,43;03.07.2021;BTC
33790,88;02.07.2021;BTC
33545,44;01.07.2021;BTC
35066,1;30.06.2021;BTC
35965,62;29.06.2021;BTC
34502,18;28.06.2021;BTC
34715,02;27.06.2021;BTC
32324,45;26.06.2021;BTC
31628,43;25.06.2021;BTC
34672,31;24.06.2021;BTC
33705,67;23.06.2021;BTC
32524,61;22.06.2021;BTC
31643,41;21.06.2021;BTC
35628,92;20.06.2021;BTC
35554,38;19.06.2021;BTC
35918,36;18.06.2021;BTC
38157,33;17.06.2021;BTC
38473,55;16.06.2021;BTC
40184,47;15.06.2021;BTC
40525,29;14.06.2021;BTC
39021,37;13.06.2021;BTC
35589,8;12.06.2021;BTC
37401,42;11.06.2021;BTC
36675,34;10.06.2021;BTC
37397,53;09.06.2021;BTC
33431,95;08.06.2021;BTC
33614,06;07.06.2021;BTC
35840,93;06.06.2021;BTC
35586,51;05.06.2021;BTC
36854,01;04.06.2021;BTC
39309,89;03.06.2021;BTC
37573,23;02.06.2021;BTC
36719,83;01.06.2021;BTC
37237,52;31.05.2021;BTC
35696,2;30.05.2021;BTC
34668,81;29.05.2021;BTC
35734,47;28.05.2021;BTC
38580,38;27.05.2021;BTC
39338,7;26.05.2021;BTC
38388,44;25.05.2021;BTC
38852,05;24.05.2021;BTC
34768,46;23.05.2021;BTC
37602,46;22.05.2021;BTC
37437,37;21.05.2021;BTC
40649,06;20.05.2021;BTC
37011,04;19.05.2021;BTC
